Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,97,17,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,97,17,P:Microsoft.Win32.SessionSwitchEventArgs.Reason,,,,,if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,93,12,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionLock)              {                  TriggerLockMode();              }              else if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,93,12,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionLock)              {                  TriggerLockMode();              }              else if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,93,12,F:Microsoft.Win32.SessionSwitchReason.SessionLock,,,,,if (e.Reason == SessionSwitchReason.SessionLock)              {                  TriggerLockMode();              }              else if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,93,12,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionLock)              {                  TriggerLockMode();              }              else if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,93,12,P:Microsoft.Win32.SessionSwitchEventArgs.Reason,,,,,if (e.Reason == SessionSwitchReason.SessionLock)              {                  TriggerLockMode();              }              else if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,92,12,T:Microsoft.Win32.SessionSwitchReason,,,,,"WriteDiagLog($""OnSessionSwitch wywołane, powód: {e.Reason}"");"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,92,12,P:Microsoft.Win32.SessionSwitchEventArgs.Reason,,,,,"WriteDiagLog($""OnSessionSwitch wywołane, powód: {e.Reason}"");"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,86,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"idleCheckTimer = new Timer(CheckIdleState, null, TimeSpan.FromSeconds(2), TimeSpan.FromSeconds(2));"
